size,joint,clearHole_or_tapDrill_mm,x,y,z,axis_x,axis_y,axis_z
M6,TAP,5,-129.5,218.03,-494.06,1,0,0
M6,TAP,5,-129.5,353.09,-572.03,1,0,0
M6,TAP,5,-129.5,488.16,-650.01,1,0,0
M6,TAP,5,-129.5,623.22,-727.99,1,0,0
M6,TAP,5,-129.5,758.28,-805.97,1,0,0
M6,TAP,5,-129.5,893.34,-883.95,1,0,0
M6,TAP,5,-129.5,1028.41,-961.93,1,0,0
M6,TAP,5,-129.5,1163.47,-1039.9,1,0,0
M6,TAP,5,129.5,218.03,-494.06,-1,0,0
M6,TAP,5,129.5,353.09,-572.03,-1,0,0
M6,TAP,5,129.5,488.16,-650.01,-1,0,0
M6,TAP,5,129.5,623.22,-727.99,-1,0,0
M6,TAP,5,129.5,758.28,-805.97,-1,0,0
M6,TAP,5,129.5,893.34,-883.95,-1,0,0
M6,TAP,5,129.5,1028.41,-961.93,-1,0,0
M6,TAP,5,129.5,1163.47,-1039.9,-1,0,0
M10,TAP,8.5,115.2,1380.12,-1321.1,-1,0,0
M10,TAP,8.5,115.2,1430.12,-1234.49,-1,0,0
M10,TAP,8.5,115.2,1423.42,-1346.1,-1,0,0
M10,TAP,8.5,115.2,1473.42,-1259.49,-1,0,0
M10,TAP,8.5,82.8,1555.05,-1340.11,1,0,0
M10,TAP,8.5,82.8,1534.05,-1376.48,1,0,0
M10,TAP,8.5,82.8,1518.68,-1319.11,1,0,0
M10,TAP,8.5,82.8,1497.68,-1355.48,1,0,0
M5,TAP,4.2,332,1470.69,-1372.23,0,-0.866,0.5
M5,TAP,4.2,362,1470.69,-1372.23,0,-0.866,0.5
M5,TAP,4.2,332,1519.69,-1287.36,0,-0.866,0.5
M5,TAP,4.2,362,1519.69,-1287.36,0,-0.866,0.5
M10,TAP,8.5,-69,1468.76,-1349.18,0,0.866,-0.5
M10,TAP,8.5,-69,1498.76,-1297.21,0,0.866,-0.5
M10,TAP,8.5,-69,122.39,-571.85,0,0.866,-0.5
M10,TAP,8.5,-69,152.39,-519.89,0,0.866,-0.5
M10,TAP,8.5,69,122.39,-571.85,0,0.866,-0.5
M10,TAP,8.5,69,152.39,-519.89,0,0.866,-0.5
M10,TAP,8.5,-97.2,1484.23,-1340.79,1,0,0
M10,TAP,8.5,-97.2,1499.23,-1314.8,1,0,0
M10,TAP,8.5,-113.2,137.86,-563.46,1,0,0
M10,TAP,8.5,-113.2,152.86,-537.48,1,0,0
M10,TAP,8.5,113.2,137.86,-563.46,-1,0,0
M10,TAP,8.5,113.2,152.86,-537.48,-1,0,0
M5,TAP,4.2,-81,1509.48,-1447.74,1,0,0
M5,TAP,4.2,-81,1524.48,-1421.76,1,0,0
M5,TAP,4.2,-81,1469.35,-1407.25,1,0,0
M5,TAP,4.2,81,1509.48,-1447.74,-1,0,0
M5,TAP,4.2,81,1524.48,-1421.76,-1,0,0
M5,TAP,4.2,81,1469.35,-1407.25,-1,0,0
M6,TAP,5,-151,958,-2122.93,0,-1,0
M6,TAP,5,109,958,-2122.93,0,-1,0
M6,TAP,5,-151,958,-1962.93,0,-1,0
M6,TAP,5,109,958,-1962.93,0,-1,0
M5,TAP,4.2,-86,896,-2062.93,0,1,0
M5,TAP,4.2,-46,896,-2062.93,0,1,0
M5,TAP,4.2,-86,896,-2022.93,0,1,0
M5,TAP,4.2,-46,896,-2022.93,0,1,0
M6,TAP,5,9,934,-1995.93,0,1,0
M6,TAP,5,39,934,-1995.93,0,1,0
M6,TAP,5,9,934,-2089.93,0,1,0
M6,TAP,5,39,934,-2089.93,0,1,0
M4,TAP,3.3,-42.67,974,-2019.6,0,-1,0
M4,TAP,3.3,-89.33,974,-2019.6,0,-1,0
M4,TAP,3.3,-89.33,974,-2066.26,0,-1,0
M4,TAP,3.3,-42.67,974,-2066.26,0,-1,0
M5,THROUGH+NUT,5.5,-44.08,849,-2021.01,0,1,0
M5,THROUGH+NUT,5.5,-87.92,849,-2021.01,0,1,0
M5,THROUGH+NUT,5.5,-87.92,849,-2064.85,0,1,0
M5,THROUGH+NUT,5.5,-44.08,849,-2064.85,0,1,0
M6,TAP,5,-114,928,-2042.93,0,1,0
M6,TAP,5,-18,928,-2042.93,0,1,0
M6,TAP,5,-66,928,-2090.93,0,1,0
M6,TAP,5,-66,928,-1994.93,0,1,0
M10,THROUGH+NUT,11,-260,687.2,-2236.93,0,-1,0
M10,THROUGH+NUT,11,-212,687.2,-2236.93,0,-1,0
